By B. Margon
 SS433 radial velocity database
 JD is measured in days
 columns Red and Blue are (lambda_observed-lambda_intrinsic)/lambda_intrinsic
 |z|>1.0 indicates absent value
  N      JD    Obs   Red    Blue
  292  4439.4   9   0.074  -0.007
  293  4439.8   0   0.076   9.999
  294  4440.4   9   0.083  -0.007
  295  4440.9   0   0.079  -0.011
  296  4441.5   9   0.086  -0.014
  297  4441.8   0   0.089  -0.016
  298  4442.5   9   0.090  -0.016
  299  4443.4   0   0.096  -0.023
  300  4443.4   9   0.099  -0.023
  301  4444.4   0   0.104  -0.024
  302  4454.8   0   0.127  -0.051
  303  4455.8   0   0.128  -0.060
  304  4456.8   0   0.131  -0.070
  305  4457.8   0   0.126  -0.066
  306  4458.8   0   0.126  -0.068
  307  4459.8   0   0.128  -0.069
  308  4461.8   0   0.160  -0.080
  309  4462.8   0   0.162   9.999
  310  4463.7   0   0.157   9.999
  311  4465.0   0   0.153  -0.068
  312  4468.7   0   0.172  -0.100
  313  4470.7   0   0.157  -0.088
  314  4471.7   0   0.157  -0.090
  315  4473.7   0   0.155  -0.096
  316  4484.4   0   9.999  -0.090
  317  4485.8   0   0.164   9.999
  318  4486.7   0   0.172   9.999
  319  4487.4   0   0.177  -0.114
  320  4487.7   0   0.179   9.999
  321  4489.6   0   0.148  -0.090
  322  4490.4   0   0.147  -0.090
  323  4493.7   0   9.999  -0.089
  324  4494.7   0   0.167  -0.089
  325  4495.7   0   0.150  -0.078
  326  4496.7   0   0.147  -0.077
  327  4497.7   0   0.152  -0.079
  328  4498.7   0   0.157  -0.089
  329  4499.7   0   0.165  -0.098
  330  4500.7   0   0.146  -0.089
  331  4517.8   0   0.109  -0.041
  332  4518.7   0   0.110  -0.037
  333  4519.6   0   0.108  -0.026
  334  4520.8   0   0.099  -0.020
  335  4547.6   0   9.999   0.062
  336  4549.6   0   9.999   0.060
  337  4550.6   0   9.999   0.046
  338  4552.6   0   9.999   0.057
  339  4553.6   0   9.999   0.070
  340  4554.6   0   9.999   0.077
  341  4555.6   0   0.021   0.063
  342  4559.6   0   9.999   0.083
  343  4560.6   0   9.999   0.088
  344  4578.6   0   0.028   0.053
  345  4582.6   0   0.035   0.050
  346  4583.6   0   0.034   9.999
  347  4584.6   0   0.035   0.042
  348  4673.0   0   0.111  -0.042
  349  4674.0   0   0.115  -0.043
  350  4675.0   0   0.124  -0.049
  351  4700.0   0   0.050   0.037
  352  4701.0   0   0.048   0.037
  353  4703.0   0   0.024   0.051
  354  4727.0   0  -0.003   0.062
  355  4728.0   0  -0.004   0.074
  356  4729.0   0  -0.003   0.088
  357  4730.0   0  -0.007   0.077
  358  4731.0   0   0.007   0.059
  359  4732.0   0   0.018   0.052
  360  4732.9   0   0.017   0.055
  361  4734.0   0   0.011   0.057
  362  4734.9   0   9.999   0.064
  363  4735.9   0  -0.004   0.065
  364  4737.0   0   9.999   0.052
  365  4750.9   0   0.016   0.043
  366  4752.0   0   0.018   0.043
  367  4755.9   0   0.067   0.006
  368  4757.0   0   0.066   9.999
  369  4764.5   9   0.092  -0.019
  370  4765.5   9   0.088  -0.016
  371  4765.9   0   0.089  -0.017
  372  4766.4   9   0.089  -0.020
  373  4766.9   0   0.088  -0.018
  374  4767.5   9   0.104  -0.023
  375  4767.9   0   0.106  -0.026
  376  4768.5   9   0.110  -0.031
  377  4769.9   0   0.112  -0.038
  378  4770.4   9   0.111  -0.038
  379  4770.9   0   0.110  -0.039
  380  4777.4   9   0.138  -0.066
  381  4778.4   9   0.134  -0.065
  382  4779.4   9   0.135  -0.065
  383  4780.4   9   0.150  -0.066
  384  4781.4   9   0.154  -0.076
  385  4781.8   0   0.158  -0.081
  386  4782.4   9   0.168  -0.088
  387  4783.8   0   0.155  -0.086
  388  4784.9   0   0.141  -0.084
  389  4792.9   0   0.167  -0.089
  390  4794.8   0   0.174  -0.099
  391  4795.9   0   9.999  -0.112
  392  4796.8   0   9.999  -0.106
  393  4798.8   0   0.159  -0.087
  394  4799.8   0   0.171  -0.101
  395  4819.8   0   9.999  -0.096
  396  4823.7   0   0.149  -0.074
  397  4824.7   0   0.150  -0.080
  398  4825.7   0   0.153  -0.091
  399  4826.7   0   9.999  -0.094
  400  4843.8   0   0.091  -0.021
  401  4844.8   0   0.094  -0.022
  402  4845.8   0   0.092  -0.016
  403  4846.7   0   0.086  -0.024
  404  4847.7   0   0.082   9.999
  405  4848.7   0   0.070   9.999
  406  4852.7   0   0.062   0.007
  407  4854.7   0   0.047   0.023
  408  4858.6   0   9.999   0.024
  409  4859.6   0   9.999   0.040
  410  4869.6   0   0.016   0.063
  411  4870.6   0   0.025   0.053
  412  4875.6   0  -0.007   9.999
  413  4879.6   0   9.999   0.076
  414  4882.7   0   9.999   0.061
  415  4908.6   0   0.047   0.021
  416  4943.6   0   0.116  -0.054
  417  5051.0   0  -0.018   0.086
  418  5052.0   0  -0.019   0.079
  419  5088.0   0   0.078   9.999
  420  5119.0   0   0.148  -0.074
  421  5120.0   0   0.148  -0.076
  422  5127.0   0   0.159  -0.092
  423  5128.0   0   0.164  -0.099
  424  5144.8   0   9.999  -0.083
  425  5146.8   0   9.999  -0.091
  426  5147.8   0   9.999  -0.084
  427  5148.8   0   9.999  -0.076
  428  5150.0   0   0.144  -0.067
  429  5161.9   0   0.119  -0.041
  430  5163.8   0   0.114  -0.042
  431  5164.7   0   0.113  -0.045
  432  5165.8   0   0.113  -0.050
  433  5174.8   0   0.083   9.999
  434  5178.9   0   0.064   9.999
  435  5186.8   0   0.045   0.032
  436  5193.8   0   0.036   0.040
  437  5196.7   0   0.014   0.066
  438  5197.7   0   9.999   0.062
  439  5210.7   0   0.018   0.068
  440  5226.8   0  -0.002   0.076
  441  5244.7   0   0.057   0.029
  442  5257.6   0   0.085  -0.027
  443  5258.6   0   0.100  -0.032
  444  5259.6   0   0.100  -0.038
  445  5429.0   0   0.126  -0.063
  446  5441.9   0   9.999  -0.100
  447  5464.0  99   9.999  -0.094
  448  5466.0  99   0.159  -0.087
  449  5467.0  99   0.164  -0.091
  450  5468.0  99   0.178  -0.096
  451  5469.0  99   0.172  -0.084
  452  5470.0  99   0.171  -0.072
  453  5471.0  99   0.164  -0.072
  454  5472.0  99   9.999  -0.073
  455  5505.0   0   0.061   0.012
  456  5506.0   0   0.063   0.017
  457  5552.8   0   9.999   0.081
  458  5559.7   0   9.999   0.056
  459  5607.5   0   0.178  -0.101
  460  5870.8   0   0.018   0.059
  461  5871.8   0   0.019   0.067
  462  5872.8   0   9.999   0.078
  463  5873.8   0   9.999   0.088
  464  5878.9   0   0.012   0.063
  465  5879.9   0   9.999   0.070
  466  5907.8   0   0.105  -0.031
  467  5908.9   0   0.105  -0.034
  468  5916.7   0   0.135  -0.060
  469  5919.7   0   9.999  -0.069
  470  5936.7   0   0.154  -0.092
  471  5941.8   0   0.184  -0.101
  472  5942.8   0   0.172  -0.090
  473  5946.8   0   0.189  -0.117
  474  5963.7   0   9.999  -0.085
  475  5966.6   0   9.999  -0.074
  476  5967.6   0   0.126  -0.072
  477  5971.7   0   0.144  -0.073
  478  5972.6   0   9.999  -0.060
  479  5973.6   0   9.999  -0.051
  480  6005.7   0   0.013   0.058
  481  6558.9   0   0.095  -0.024
  482  6559.6   0   0.108  -0.028
  483  6560.6   0   0.110  -0.031
  484  6561.6   0   0.118  -0.042
  485  6562.6   0   0.117  -0.045
  486  6563.6   0   0.119  -0.049
  487  6564.6   0   0.124  -0.051
  488  6586.0   0   0.170   9.999
  489  6639.8   0   0.058   0.014
  490  6640.8   0   0.052   0.016
  491  6641.8   0   0.047   0.019
  000  6923.6   1   0.154  -0.090
  492  6934.0   0   0.172  -0.106
  493  6935.0   0   0.152   9.999
  494  6943.0   0   9.999  -0.066
  495  6944.0   0   0.144  -0.068
  496  6945.0   0   0.146  -0.071
  497  6946.0   0   0.140  -0.071
  498  6947.0   0   0.124  -0.055
  499  6947.9   0   0.131  -0.046
  000  7038.4   1   0.064  -0.011
  000  7118.3   1   0.084  -0.023
  500  7125.6   0   0.063   9.999
  501  7126.5   0   0.061   9.999
  502  7127.6   0   0.061   9.999
  503  7128.6   0   0.058   9.999
  000  7133.2   1   0.031   0.035
  504  7276.3   0   0.110  -0.045
  505  7277.2   0   0.116  -0.044
  506  7628.9   0   0.028   9.999
  507  7630.9   0   0.016   9.999
  508  7976.0   0   9.999   0.071
  000  8028.5   1   9.999  -0.068
  000  8030.5   1   9.999  -0.069
  000  8042.6   1   9.999  -0.097
  000  8084.5   1   0.109  -0.055
  000  8133.4   1   9.999   0.072
  509  8394.0   0   0.149  -0.074
  510  8394.9   0   0.142  -0.071
  511  8395.9   0   0.144  -0.073
  000  8481.7   1   0.018   0.051
  000  8482.6   1   0.015   0.056
  000  8500.3   1   0.081  -0.017
  000  8509.4   1   0.117  -0.041
  000  8531.4   1   0.176  -0.110
  000  8532.4   1   9.999  -0.091
  000  8533.4   1   0.151  -0.089
  000  8588.3   1   0.055   0.021
  000  8589.2   1   0.049   0.024
  000  8655.7   1   0.089  -0.016
  000  8682.7   1   9.999  -0.086
  000  8683.7   1   9.999  -0.081
  000  8808.7   1   0.067   0.008
  000  8809.7   1   0.070   9.999

